deckName,deckColors
Adun Oakenshield,BRG
Age of Ice,WUBRG
Allies Aplenty,WUBRG
Alms for the Cure,WB
Ancestors,WU
Angel's Grace,W
Atog Atog,WUBRG
Attack of the Clones,UG
Auroch Herd,G
Balthazor,WUBRG
Balthazor's Groupies,WUBRG
Balthazor's Minions,B
Balthor's Minions,B
Baru for You,G
Beatdown for Hire,B
Beeble Beatdown,U
Big Blue,U
Big Green,G
Big White,W
Bird is the Word,WU
Blight of the Fens,B
Bling,WBG
Blitz Kreig,RG
Blood Carnival,BR
Bones,WUBRG
Brain Scramble,UR
Bruna,WU
Built From Scratch,R
Bump in the Night,B
Burn the Earth,R
Burning Fury of a Thousand Suns,R
Champions of the Pit - Initiation Deck,WBR
Chaos Reigns,WUBRG
Chatter of the Squirrel,G
Cheap Goblins,R
Chill Pauper,WU
Circle of Life,WUBRG
Color in the Beatdown,WUBRG
Combat Mastery,W
Counter Punch,UBG
Coven of Nine,WUBR
Crab People,UB
Crackling Goblins,R
Crazy Goblins,R
Crazy Train,UR
Croaking Goblins,R
Crunchy Goblins,R
Cult of Nefarox,B
Cunning Vs,WUR
Dakkon Blackblade,WUB
Damage for Breakfast,WR
Darien's Legacy,W
Dark Devotion,UBR
Deal With the Devil,R
Deathklok,UBR
Deckmaster Jon Finkel,BR
Deckmaster Richard Garfield,RG
Democratic Conspiracy,WUBRG
Denial of Will,UB
Devour for Power,WBG
Diaoshan Artful Beauty,R
Doom Men of the Moon,WURG
Double or Nothing,WUBRG
Dragon Fury,UR
Dragon Mountain,R
Dragon's Horde,R
Drop of Daylight,WUBRG
Dwarven Thunder,R
Elves of Fury,URG
Elves of the Chosen,G
Elves Vs,G
Empire Strikes Back,UR
End of the World,W
Enter Shahrazad,WB
Erupt and Overwhelm,R
Eternal Bargain,WUB
Evade and Shimmer,WU
Evasive Maneuvers,WUG
