deckName,deckColors
Everything Burns,RG
Evil Eye,B
Exsanguimator,WUBRG
Fall of Troy,W
Fat Cobra,G
Ferngully's Payback,UBG
"Float like a Butterfly, Sting like a Bee",WUBRG
another deck,WUBRG
For Honor and Valor,W
For the Cause,W
Forged in Stone,W
Frankenstein,B
Frankie's Question,WU
Ghave's Growth,WBG
Gin,WR
Goblins Vs,R
Golgari,BG
Good Will,U
Graveborn,WUBRG
Great Forest Emergence,G
Green Acres,WG
Green Beets,G
Green Giant,G
Green Manaburn,G
Guardians of the Muck,WUBG
Guardians of the Wild,G
Guided By Nature,G
Hakunin,WUBRG
Happy Days,WG
Hazezom Tamar,WRG
Heavenly Inferno,WBR
Hidden Phoenix,WRG
Hippie Denial,B
Hive's Breath,U
Hive's Crusade,W
Hive's Diversity,WUBRG
Hive's Growth,G
Hive's Neglect,WUBRG
Hive's Rage,R
Hive's Shadow,B
Holy Crusade,WB
Holy Relics,WB
Honden of The Myojin,WUBRG
House of Pain by George Baxter,BRG
I am Legend,WUBRG
Ice Kitten,U
Ice Scraper,U
iSpell,WUBRG
It Came From the Malestrom,URG
Ivy League,U
Izzet,UR
Jhoira,UR
John's Modern,WRG
John's Ocean Critters,WU
Juicy Fruit,WUBRG
Junkyard,W
Justin Sane,N
Justin Time,N
Karona,WUBRG
Knowledge is Power,U
Life Not Unlived,WUBRG
Light and Fury,WR
Lim-Dul's Oasis,BRG
Mad Scientist,UB
Madara Uchia Clan,B
Marath,WRG
Maraxus,R
Master of the Slaves,WUBR
Mavrick,UBR
Medic!,W
Mermaider,WU
Michael's Affinity,WUBRG
Michael's Dragons,BRG
Michael's Madness,BG
Michael's Norin,R
Michael's Psychatog,UB
Michael's Reanimator,WUBRG
Michael's Slivers,WUBRG
Michael's Tezzeret,UB
Michael's Zombies,B
Windseeker Hillbillies,WRG
Witch Hunt,B
Wolf Pack,RG
Wombat Wannabe,WG
Wooz's Deck of Ooze,UBRG
Wort,BR
Yamazaki Clan,UR
Yellowstone,WURG
You Only Live Twice,G
Zedruu,WUR
Zuberi,W
Zur the Enchanter,WUB
Nath,BG
Nature of the Beast,WRG
Nick's Illusionary Dreadnought,WU
Night of the Ninja,UB
Nightmare's Reward,B
Niv-Mizzet,UR
Niv's Rage,WUBRG
Norin,R
Northern Horde,R
Obsessive Madness,BRG
Octopie Buttkrakens and Serpents Oh My!,U
One For All,WUBRG
Orc Hordes,WBRG
Ordeals Aplenty,WUBRG
Pack Hunt,BG
Pain Scramble,BR
Peer Through Time,U
Phyrexia,B
Pianna Roams,W
Political Puppets,WUR
Polluted Minds,UBR
Pon Farr,UBR
Power Hungry,BRG
Primordial Hunger,RG
Rabid Dancer,WR
Rabid Wombat,G
Rafiq of the Many,WUG
Rage With the Machine,WUBR
Ramirez DePietro,UB
Rattlin Bog,B
Recycled Life,BG
Red Wizard's Doom,WU
Relentless Rats,B
Revenge of the Orb,WU
Rohgahh,BR
Sands of Life,W
Savage Auras,WG
Scalpelexis Exists,U
Scrambled Eggs,WR
Secret Scrolls,U
Senju Hashirama Clan,UG
Serra Angel Speed Bump,UBR
Seven Seas,U
Shady Business,B
Siren Gwendlyn,UBR
Siren Merieke Ri Berit,WUB
Siren Rubinia,WUG
Sky is Falling,UG
Slip and Slide,WUG
Slumgolem Casserole,WUBG
Snakes on a Bow,UBG
Sparkley Bits,U
SPECTRE,B
Speed Vs,WBR
Spread the Sickness,BRG
Starre Night,WU
Stealthy Attack,WUBRG
Stewards of Kher,BRG
Summer Expedition,RG
Sworn to Darkness,B
Tamanoa Sunrise,WRG
Tetsuo Umezawa,UBR
Texas Justice,WB
That Deck,UB
The Avengers,WU
The Coalition,WUBRG
The Hive,WUBRG
Thriss,G
Tiamat,WUBRG
Tinkering Gnomes,WUBRG
Top Gun,WU
Toshiro's Pact,WUBRG
Tour De Jour,WUBRG
Traitor's of Glissa,BG
Transformers,W
Triumph of the Orb,BG
Trostani's Grove,WG
Trumpets of Peace,W
Trumpets of War,WR
Twisted Bramble Bugs,UG
Uril the Miststalker,WRG
War,R
War Never Changes,R
Weezer,U
Weird Science,UBRG
Werewolf Pack,B
What Is Real?,U
Whimsical Musings of Delight,URG
Who's The Bosh,R
Wild BBQ,RG
Deckmaster Richard Garfield,RG
Democratic Conspiracy,WUBRG
Denial of Will,UB
Devour for Power,WBG
Diaoshan Artful Beauty,R
Doom Men of the Moon,WURG
Double or Nothing,WUBRG
Dragon Fury,UR
Dragon Mountain,R
Dragon's Horde,R
Drop of Daylight,WUBRG
Dwarven Thunder,R
Elves of Fury,URG
Elves of the Chosen,G
Elves Vs,G
Empire Strikes Back,UR
End of the World,W
Enter Shahrazad,WB
Erupt and Overwhelm,R
Eternal Bargain,WUB
Evade and Shimmer,WU
Evasive Maneuvers,WUG
