deckName,deckColors
Everything Burns,RG
Evil Eye,B
Exsanguimator,WUBRG
Fall of Troy,W
Fat Cobra,G
Ferngully's Payback,UBG
"Float like a Butterfly, Sting like a Bee",WUBRG
another deck,WUBRG
For Honor and Valor,W
For the Cause,W
Forged in Stone,W
Frankenstein,B
Frankie's Question,WU
Ghave's Growth,WBG
Gin,WR
Goblins Vs,R
Golgari,BG
Good Will,U
Graveborn,WUBRG
Great Forest Emergence,G
Green Acres,WG
Green Beets,G
Green Giant,G
Green Manaburn,G
Guardians of the Muck,WUBG
Guardians of the Wild,G
Guided By Nature,G
"66% of the Time, it Works Every Time",R
Justice and Fury,WRG
Angels,W
Assemble the Doomsday Machine,WUB
Bring About the Undead Apocalypse,BR
Scorch the World with Dragonsfire,BR
Trample Civilization Underfoot,WG
Army of Entropy,BR
Aura Masters,WU
Azorus Ascendant,WU
Back to the Graveyard,UB
Bailfire Liege,WR
Barrage,RG
Battalion,W
Bestow upon You,WB
Big Blue,UBG
Big Red Blast Fest,R
Blizak and Wizite,WB
Boggart's Feast,BR
Bogs Brew,B
Bouncefest,WUB
Bright Future,B
Broken the 20th Level of Enlightenment,U
Burokku Sa Renal Seishin,U
Buybacks A Bitch,WBG
Burn and Destroy,R
Charmed Existense,WUBRG
Cheap Artifacts,WUBR
Code of the Orzhov,WB
Coalition,WUBRG
Command Your Creatures,WG
Evasive Maneuvers,WUG
Eternal Bargain,WUB
Mirror Mastery,URG
Nature of the Beast,WRG
Peer Through Time,W
Power Hungry,BRG
Guided by Nature,G
Mindseize,UBR
Sworn to Darkness,B
Critical Mass,BR
Dark Cycle,WB
Death March,BG
Demons,B
Dimir's Intrigues,UB
Dimir's Revenge,UB
Distorted Reality Pool,U
Dragons,R
Elemental's Path,WUBRG
Elvish Predication,G
Duty and Protection,W
Everybody Dies,BR
Evolutions A Happin',BG
Ev're Day I'm Shufflin',BR
Eye of Distortion,WU
Fate,UG
Flayer of the Hartbound,RG
Flippin' Crazy,BR
From the Graveyard,UB
Fury,R
George's Special Forces,UB
Goblin,R
Going Rouge,UB
Golgari,BG
Green Slivers,G
Grull Weilding,RG
Ferocity and Growth,G
Guscloke,WU
Heath Nelson,WUBRG
Hero,WR
Hollow Ground,UG
Hope's Crusade,W
I Have Crabs,U
Northern Horde,R
Obsessive Madness,BRG
Octopie Buttkrakens and Serpents Oh My!,U
One For All,WUBRG
Orc Hordes,WBRG
Ordeals Aplenty,WUBRG
Pack Hunt,BG
Pain Scramble,BR
Peer Through Time,U
Phyrexia,B
Pianna Roams,W
Political Puppets,WUR
Polluted Minds,UBR
Pon Farr,UBR
Power Hungry,BRG
Primordial Hunger,RG
Rabid Dancer,WR
Rabid Wombat,G
Rafiq of the Many,WUG
Rage With the Machine,WUBR
Ramirez DePietro,UB
Rattlin Bog,B
Recycled Life,BG
Red Wizard's Doom,WU
Relentless Rats,B
Revenge of the Orb,WU
Rohgahh,BR
Sands of Life,W
Savage Auras,WG
Scalpelexis Exists,U
Scrambled Eggs,WR
Secret Scrolls,U
Senju Hashirama Clan,UG
Serra Angel Speed Bump,UBR
Seven Seas,U
Shady Business,B
Siren Gwendlyn,UBR
Siren Merieke Ri Berit,WUB
Siren Rubinia,WUG
Sky is Falling,UG
Slip and Slide,WUG
Slumgolem Casserole,WUBG
Snakes on a Bow,UBG
Sparkley Bits,U
SPECTRE,B
Speed Vs,WBR
Spread the Sickness,BRG
Starre Night,WU
Stealthy Attack,WUBRG
Stewards of Kher,BRG
Summer Expedition,RG
Sworn to Darkness,B
Tamanoa Sunrise,WRG
Tetsuo Umezawa,UBR
Texas Justice,WB
That Deck,UB
The Avengers,WU
The Coalition,WUBRG
The Hive,WUBRG
Thriss,G
Tiamat,WUBRG
Tinkering Gnomes,WUBRG
Top Gun,WU
Toshiro's Pact,WUBRG
Tour De Jour,WUBRG
Traitor's of Glissa,BG
Transformers,W
Triumph of the Orb,BG
Trostani's Grove,WG
Trumpets of Peace,W
Trumpets of War,WR
Twisted Bramble Bugs,UG
Uril the Miststalker,WRG
War,R
War Never Changes,R
Weezer,U
Weird Science,UBRG
Werewolf Pack,B
What Is Real?,U
Whimsical Musings of Delight,URG
Who's The Bosh,R
Wild BBQ,RG
Deckmaster Richard Garfield,RG
Democratic Conspiracy,WUBRG
Denial of Will,UB
Devour for Power,WBG
Diaoshan Artful Beauty,R
Doom Men of the Moon,WURG
Double or Nothing,WUBRG
Dragon Fury,UR
Dragon Mountain,R
Dragon's Horde,R
Drop of Daylight,WUBRG
Dwarven Thunder,R
Elves of Fury,URG
Elves of the Chosen,G
Elves Vs,G
Empire Strikes Back,UR
End of the World,W
Enter Shahrazad,WB
Erupt and Overwhelm,R
Eternal Bargain,WUB
Evade and Shimmer,WU
Evasive Maneuvers,WUG
