deckName,deckColors
Everything Burns,RG
Evil Eye,B
Exsanguimator,WUBRG
Fall of Troy,W
Fat Cobra,G
Ferngully's Payback,UBG
"Float like a Butterfly, Sting like a Bee",WUBRG
another deck,WUBRG
For Honor and Valor,W
For the Cause,W
Forged in Stone,W
Frankenstein,B
Frankie's Question,UW
Ghave's Growth,WBG
Gin,WR
Goblins Vs,R
Golgari,BG
Good Will,U
Graveborn,WUBRG
Great Forest Emergence,G
Green Acres,WG
Green Beets,G
Green Giant,G
Green Manaburn,G
Guardians of the Muck,WUBG
Guardians of the Wild,G
Guided By Nature,G
"66% of the Time, it Works Every Time",R
Justice and Fury,WRG
Angels,W
Assemble the Doomsday Machine,WUB
Bring About the Undead Apocalypse,BR
Scorch the World with Dragonsfire,BR
Trample Civilization Underfoot,WG
Army of Entropy,BR
Aura Masters,WU
Azorus Ascendant,WU
Back to the Graveyard,UB
Bailfire Liege,WR
Barrage,RG
Battalion,W
Bestow upon You,WB
Big Blue,UBG
Big Red Blast Fest,R
Blizak and Wizite,WB
Boggart's Feast,BR
Bogs Brew,B
Bouncefest,WUB
Bright Future,B
Broken the 20th Level of Enlightenment,U
Burokku Sa Renal Seishin,U
Buybacks A Bitch,WBG
Burn and Destroy,R
Charmed Existense,WUBRG
Cheap Artifacts,WUBR
Code of the Orzhov,WB
Coalition,WUBRG
Command Your Creatures,WG
Evasive Maneuvers,WUG
Eternal Bargain,WUB
Mirror Mastery,URG
Nature of the Beast,WRG
Peer Through Time,W
Power Hungry,BRG
Guided by Nature,G
Mindseize,UBR
Sworn to Darkness,B
Critical Mass,BR
Dark Cycle,WB
Death March,BG
Demons,B
Dimir's Intrigues,UB
Dimir's Revenge,UB
Distorted Reality Pool,U
Dragons,R
Elemental's Path,WUBRG
Elvish Predication,G
Duty and Protection,W
Everybody Dies,BR
Evolutions A Happin',BG
Ev're Day I'm Shufflin',BR
Eye of Distortion,WU
Fate,UG
Flayer of the Hartbound,RG
Flippin' Crazy,BR
From the Graveyard,UB
Fury,R
George's Special Forces,UB
Goblin,R
Going Rouge,UB
Golgari,BG
Green Slivers,G
Ivory Doom,W
Ixidor's Legacy,U
Izzet,UR
Mind Over Matter,U
Mind Seize,U
Joe's Domination,WUBRG
Knights,WG
Erupt and Overwhenm,R
Kreatur Feature,WG
Kreatur Killa',UG
Life 4 Death,WR
Lift Off,WU
Little Bashers,W
Death and Ambition,B
Merfolk,WU
Monsters,RG
Monster's Tribute,RG
Mortal Coil,UB
My Shitty Ass Affinity Deck,UB
Myr Oh My,WUBRG
Son of Goblin,R
Newfect,UG
Avrice and Deceit,UBR
Outside Chance,URG
Phyrexia,B
Metallic Dreams,WUBRG
Chaos Reins,WUBRG
Elemental Thunder,RG
Night of the Ninja,UB
Primordial Hunger,RG
Savage Auras,WG
Strikeforce,WR
Zombie Empire,B
Prelife Punch to the Face,WU
Premium Slivers,WUBRG
Profect,UB
Puppet Master,G
Rancor's Bloodsport,BR
Razing Psyche,UB
Reality Escape Blade,WUR
Rebels Unite,WB
Elemental Mastery,R
Red Samurai,R
Rescue From the Underworld,BG
Ripples of Fun,UR
Rituals of Rebirth,WU
Rose,UB
Sacrificial Bam,BR
Sacrificial Human,WB
Shamanism,WBG
Sidestep,UR
Simic Mutology,WG
Snakes Path,G
Son of Guscloke,WU
Soratimsi's Wisdom,WU
Hunt and Feed,WB
Spawn of Eldrazi,RG
Spiritual Revolution,RG
Starvation of Hope,U
Sotrmkirk Nobles,WR
Super Abundance,N
Suspended Scentance,UB
Swarm and Slam,WG
Power and Secrecy,U
Torment and Agonize,BR
Tourney Fect,UB
Twilight of the Fifth Dawn,WUBRG
Twisted Copies of a Broken Reality,WUBRG
Unholy Alliance,WUBRG
Unraveling Mind,BR
Urza's Empire,U
Vanishing Hope,WR
Evade and Shimmer,WU
Dirty Work,BG
Warrior's Code,RG
Way of the Warrior,W
Wicked Big,G
Wicked Big's Even More Wicked Bigger Older Brother,G
11th Hour (Check Color),UGR
Athiest's  Truth  (Check Color),BG
Cunning,WUR
Forgetful Explorer,G
Horde of the Dragons,UR
Master Blaster,R
Mill Oh My,U
Paralyzing Peek Past Present Perils,UR
Speed,RWB
Valiant Discord check color,RG
Wisest of All,U
Aeoa Paquete look up color,UBR
Power,UBG
Profit,BG
Kiora,UG
"More ""Fang & Man"" Fest",UG
White Mocha,W
Doom Men of the Moon,WURG
Double or Nothing,WUBRG
Dragon Fury,UR
Dragon Mountain,R
Dragon's Horde,R
Drop of Daylight,WUBRG
Dwarven Thunder,R
Elves of Fury,URG
Elves of the Chosen,G
Elves Vs,G
Empire Strikes Back,UR
End of the World,W
Enter Shahrazad,WB
Erupt and Overwhelm,R
Eternal Bargain,WUB
Evade and Shimmer,WU
Evasive Maneuvers,WUG
